tag,event_type,episodes,correct_first_trip,wrong_relay_first_trip,no_trip,correct_first_trip_rate,wrong_relay_first_trip_rate,no_trip_rate
combined_W96,flt_2ph_shc,38,38,0,0,1.0,0.0,0.0
combined_W96,flt_2phg_shc,41,41,0,0,1.0,0.0,0.0
combined_W96,flt_3ph_shc,33,33,0,0,1.0,0.0,0.0
phasor_W48,flt_1phg_hif,6,3,3,0,0.5,0.5,0.0
phasor_W48,flt_1phg_hif_w_arc,7,5,2,0,0.7142857142857143,0.2857142857142857,0.0
phasor_W48,flt_1phg_incipient,5,4,0,1,0.8,0.0,0.2
phasor_W48,flt_1phg_incipient_w_arc,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0
phasor_W48,flt_1phg_shc,41,32,9,0,0.7804878048780488,0.21951219512195122,0.0
phasor_W48,flt_1phg_shc_w_arc,40,36,4,0,0.9,0.1,0.0
phasor_W48,flt_2ph_shc,38,34,4,0,0.8947368421052632,0.10526315789473684,0.0
phasor_W48,flt_2phg_shc,41,39,2,0,0.9512195121951219,0.04878048780487805,0.0
phasor_W48,flt_3ph_shc,33,32,1,0,0.9696969696969697,0.030303030303030304,0.0
phasor_W96,flt_1phg_hif,6,5,1,0,0.8333333333333334,0.16666666666666666,0.0
phasor_W96,flt_1phg_hif_w_arc,7,6,1,0,0.8571428571428571,0.14285714285714285,0.0
phasor_W96,flt_1phg_incipient,5,5,0,0,1.0,0.0,0.0
phasor_W96,flt_1phg_incipient_w_arc,3,3,0,0,1.0,0.0,0.0
phasor_W96,flt_1phg_shc,41,38,3,0,0.926829268292683,0.07317073170731707,0.0
phasor_W96,flt_1phg_shc_w_arc,40,38,2,0,0.95,0.05,0.0
phasor_W96,flt_2ph_shc,38,36,2,0,0.9473684210526315,0.05263157894736842,0.0
phasor_W96,flt_2phg_shc,41,40,1,0,0.975609756097561,0.024390243902439025,0.0
phasor_W96,flt_3ph_shc,33,32,1,0,0.9696969696969697,0.030303030303030304,0.0
