tag,original_precision,corrected_precision,delta_precision,original_recall,corrected_recall,delta_recall,original_f1,corrected_f1,delta_f1,original_fpr,corrected_fpr,delta_fpr
phasor_W48,0.9848019401778496,0.992165276163372,0.0073633360,0.9042810552959502,0.9358766549844236,0.0315955997,0.9428254236105383,0.9631993006445617,0.0203738770,0.05608783899444893,0.029701904971511015,-0.0263859340
combined_W48,0.9939485547880409,0.9945706501753241,0.0006220954,0.9154302959501558,0.9346901771806854,0.0192598812,0.9530749953756611,0.9637011274469212,0.0106261321,0.022399921746998265,0.020507177267502997,-0.0018927445
phasor_W96,0.9905828853130438,0.9991855000027104,0.0086026147,0.9017973617601246,0.8971901771806854,-0.0046071846,0.9441073314537675,0.945444962799012,0.0013376313,0.03637724937391888,0.003103296930266181,-0.0332739524
combined_W96,0.99779872689673,0.9992042419725483,0.0014055151,0.90186550817757,0.939730578271028,0.0378650701,0.9474097993495736,0.9685552812979742,0.0211454819,0.008442413445898847,0.0031755867090078227,-0.0052668267
combined_W48_fp10,0.9986980885455087,0.9945706501753241,-0.0041274384,0.9390868380062305,0.9346901771806854,-0.0043966608,0.9679755655484268,0.9637011274469212,-0.0042744381,0.004920157484165994,0.020507177267502997,0.0155870198
combined_W48_fp200,0.9848320540445503,0.9945706501753241,0.0097385961,0.9338371300623053,0.9346901771806854,0.0008530471,0.9586569134068181,0.9637011274469212,0.0050442140,0.057804514220037656,0.020507177267502997,-0.0372973370
combined_W48_fp100,0.9991707530894894,0.9996489428841906,0.0004781898,0.9486699279595016,0.9252007885514019,-0.0234691394,0.9732656839697725,0.9609851357500379,-0.0122805482,0.0031643557577091435,0.0013058469664734796,-0.0018585088
combined_W48_alpha0.1,0.9920671024671124,0.9977032979344422,0.0056361955,0.5811842873831776,0.8236054322429907,0.2424211449,0.732970986967962,0.9023334071050126,0.1693624201,0.018678013351918422,0.007619886044066221,-0.0110581273
combined_W48_alpha0.9,0.9979264549998128,0.99925476050538,0.0013283055,0.940558070482866,0.9496385806074766,0.0090805101,0.9683933698307126,0.9738150902498695,0.0054217204,0.007854645049274937,0.0028464529381556744,-0.0050081921
