run_tag,sim_idx,event_type,event_target,is_fault,t_start,expert_action,first_trip_index,first_trip_time_ms,relative_delay_ms,first_action,censored,censor_index,censor_time_ms,outcome
phasor_W96,764,flt_1phg_shc,MainLn6-7,True,287,7,964.0,100.41666666666667,0.4166666666666667,7.0,False,,,correct_first_trip
phasor_W96,1289,flt_1phg_shc_w_arc,MainLn4-5,True,287,4,973.0,101.35416666666666,1.3541666666666667,2.0,False,,,wrong_relay_first_trip
phasor_W96,2218,flt_2ph_shc,MainBus3,True,287,1,962.0,100.20833333333333,0.20833333333333334,1.0,False,,,correct_first_trip
phasor_W96,944,flt_1phg_shc_w_arc,MainLn6-7,True,287,7,965.0,100.52083333333334,0.5208333333333334,7.0,False,,,correct_first_trip
phasor_W96,2755,flt_2phg_shc,MainBus6,True,287,6,961.0,100.10416666666666,0.10416666666666667,6.0,False,,,correct_first_trip
phasor_W96,1552,flt_1phg_shc_w_arc,MainLn4-11,True,287,5,973.0,101.35416666666666,1.3541666666666667,5.0,False,,,correct_first_trip
phasor_W96,4449,switch_ohl_on,MainBus8,False,287,15,966.0,100.625,,14.0,False,,,false_first_trip
phasor_W96,2325,flt_2ph_shc,MainLn12-13,True,287,13,961.0,100.10416666666666,0.10416666666666667,13.0,False,,,correct_first_trip
phasor_W96,199,flt_1phg_shc,MainLn2-3,True,287,1,967.0,100.72916666666666,0.7291666666666667,1.0,False,,,correct_first_trip
phasor_W96,4428,switch_cap_off,MainBus14,False,287,15,,,,,True,4799.0,499.8958333333333,no_trip
phasor_W96,1694,flt_2ph_shc,MainLn1-2,True,287,0,961.0,100.10416666666666,0.10416666666666667,0.0,False,,,correct_first_trip
phasor_W96,1126,flt_1phg_shc_w_arc,MainLn7-8,True,287,8,966.0,100.625,0.625,7.0,False,,,wrong_relay_first_trip
phasor_W96,3519,flt_3ph_shc,MainLn5-6,True,287,6,961.0,100.10416666666666,0.10416666666666667,6.0,False,,,correct_first_trip
phasor_W96,538,flt_1phg_shc,MainLn1-2,True,287,0,961.0,100.10416666666666,0.10416666666666667,0.0,False,,,correct_first_trip
phasor_W96,2584,flt_2phg_shc,MainLn1-2,True,287,0,961.0,100.10416666666666,0.10416666666666667,0.0,False,,,correct_first_trip
phasor_W96,2855,flt_2phg_shc,MainLn10-11,True,287,12,961.0,100.10416666666666,0.10416666666666667,12.0,False,,,correct_first_trip
phasor_W96,677,flt_1phg_shc,MainLn6-7,True,287,7,961.0,100.10416666666666,0.10416666666666667,7.0,False,,,correct_first_trip
phasor_W96,4487,switch_cable_off,MainBus4,False,287,15,,,,,True,4799.0,499.8958333333333,no_trip
